time_step,vehicle_id,route_id,speed,co_emission,co2_emission,nox_emission,fuel_consumption,noise,pos_x,pos_y,lane_id,waiting_time,acceleration
0,0,!0,13.89,8.198,2058.856,0.759,667.465,64.568,533.521,2394.938,-464275472_0,0.0,0.0
1,0,!0,14.153,18.324,2938.553,1.072,952.646,65.389,527.192,2406.631,-464275472_0,0.0,0.263
2,0,!0,14.078,5.804,1831.279,0.678,593.689,64.53,537.542,2416.009,-464275472_0,0.0,-0.075
3,0,!0,14.682,33.554,4172.986,1.526,1352.825,66.657,548.663,2425.593,-464275472_0,0.0,0.604
4,0,!0,13.851,0.0,0.0,0.0,0.0,62.991,559.155,2434.635,-464275472_0,0.0,-0.832
5,0,!0,13.546,0.0,0.0,0.0,0.0,63.66,569.416,2443.478,-464275472_0,0.0,-0.304
6,0,!0,13.803,17.021,2868.79,1.044,930.03,65.142,579.872,2452.488,-464275472_0,0.0,0.257
7,0,!0,13.752,6.161,1883.192,0.697,610.518,64.352,590.289,2461.465,-464275472_0,0.0,-0.052
8,0,!0,9.294,0.0,0.0,0.0,0.0,56.111,597.328,2467.532,-464275472_0,0.0,-4.458
9,0,!0,5.76,0.0,0.0,0.0,0.0,50.67,601.691,2471.292,-464275472_0,0.0,-3.534
10,0,!0,7.878,25.585,5838.009,1.721,1892.581,68.585,607.815,2476.243,:4594104809_3_0,0.0,2.119
10,1,!1,10.31,3.352,1813.115,0.672,587.799,62.0,677.676,2490.629,464275053#8_0,0.0,0.0
11,0,!0,9.872,38.527,6449.878,2.048,2090.945,69.019,616.954,2479.314,-464275471#0_0,0.0,1.993
11,1,!1,11.074,21.337,3832.336,1.309,1242.392,64.938,668.764,2484.047,464275053#8_0,0.0,0.765
12,0,!0,11.85,55.981,7340.447,2.477,2379.655,69.944,628.67,2477.554,-464275471#0_0,0.0,1.978
12,1,!1,7.066,0.0,0.0,0.0,0.0,52.79,663.143,2479.77,:3725789313_2_0,0.0,-4.008
13,0,!0,9.826,0.0,0.0,0.0,0.0,57.769,638.386,2476.094,-464275471#0_0,0.0,-2.023
13,1,!1,6.301,0.0,0.0,0.0,0.0,56.523,659.689,2474.651,:3725789313_16_0,0.0,-0.765
14,0,!0,5.42,0.0,0.0,0.0,0.0,49.542,643.745,2475.289,-464275471#0_0,0.0,-4.406
14,1,!1,6.61,3.357,2190.406,0.753,710.106,60.534,661.641,2468.507,:3725789313_16_0,0.0,0.309
15,0,!0,5.732,2.452,2121.413,0.727,687.739,60.018,649.361,2474.193,:3725789313_12_0,0.0,0.312
15,1,!1,6.766,2.252,1935.6,0.694,627.504,60.052,665.733,2463.127,464275045_0,0.0,0.156
16,0,!0,5.234,0.0,0.0,0.0,0.0,56.59,650.433,2470.423,:3725789313_12_0,0.0,-0.497
16,1,!1,8.555,25.907,5451.242,1.667,1767.203,67.525,671.007,2456.392,464275045_0,0.0,1.789
17,0,!0,5.042,0.0,0.0,0.0,0.0,57.614,646.656,2467.096,464275053#9_0,0.0,-0.192
17,1,!1,10.527,43.601,6696.44,2.172,2170.878,69.255,677.496,2448.104,464275045_0,0.0,1.972
18,0,!0,5.865,5.799,2944.365,0.909,954.519,62.162,642.065,2463.448,464275053#9_0,0.0,0.822
